Total: 1353 
True: 990 
False: 363

73% accuracy, beacuse more documents with topic labels

categories =[
 'alt.atheism',
 'sci.space',
 'comp.graphics',
 'talk.religion.misc']


ID,TAG_WEIGHT,TAG_RETURNED,TAG_EXPECTED,OUTCOME,OUTCOME_HFQ_REMOVED,TAG_RETURNED_HFQ_REMOVED,TAG_WEIGHT_HFQ_REMOVED
0,6.635460273305412,sci.space,sci.space,True,False,talk.politics.guns,0.5727655975703333
1,6.281264066860636,comp.graphics,comp.graphics,True,True,comp.graphics,2.664800155660411
2,9.493705683828226,comp.graphics,comp.graphics,True,True,comp.graphics,6.586568928461476
3,108.29855431013598,comp.graphics,comp.graphics,True,True,comp.graphics,83.65694051366978
4,10.611677841013567,comp.graphics,comp.graphics,True,True,comp.graphics,6.4140621783083605
5,24.387721776879243,comp.graphics,comp.graphics,True,True,comp.graphics,7.473471252636869
6,17.68563538102363,sci.space,sci.space,True,True,sci.space,2.7658546556667654
7,52.140385188660765,sci.space,sci.space,True,True,sci.space,39.44696189304611
8,49.08973410595827,alt.atheism,alt.atheism,True,True,alt.atheism,6.281346146809222
9,26.7682891331463,sci.space,sci.space,True,True,sci.space,15.938344677402936
10,15.497100511900616,comp.os.ms-windows.misc,comp.graphics,False,False,comp.os.ms-windows.misc,7.930121713254855
11,282.59120395225096,comp.graphics,comp.graphics,True,True,comp.graphics,275.2950901549918
12,5858.680061294206,comp.graphics,comp.graphics,True,True,comp.graphics,5719.226288684102
13,53.11392775945741,sci.space,sci.space,True,True,sci.space,18.08268272255846
14,11.159605959394023,comp.graphics,comp.graphics,True,True,comp.graphics,6.115030106279695
15,28.680837575992978,alt.atheism,alt.atheism,True,False,soc.religion.christian,12.663162314927678
16,26.440464409027957,alt.atheism,alt.atheism,True,False,soc.religion.christian,5.216652848397883
17,1.2655834046329204,alt.atheism,alt.atheism,True,False,,0
18,11.900790067201191,comp.graphics,comp.graphics,True,True,comp.graphics,8.937613220874736
19,100.1583081363131,sci.space,sci.space,True,True,sci.space,34.094725227059364
20,40.51560778228774,sci.space,sci.space,True,True,sci.space,8.738555934022793
21,81.81768453603907,sci.space,sci.space,True,True,sci.space,31.98770421078855
22,23.26914386620861,alt.atheism,talk.religion.misc,False,False,sci.space,11.133877978077793
23,12.700984538377424,alt.atheism,alt.atheism,True,False,sci.crypt,3.747805684484531
24,144.70025186992112,talk.religion.misc,talk.religion.misc,True,True,talk.religion.misc,135.06642008529025
25,46.0252322458833,sci.space,sci.space,True,False,talk.politics.mideast,14.1341358490135
26,177.91280749841923,soc.religion.christian,talk.religion.misc,False,False,soc.religion.christian,87.25537629826269
27,9.929640452024785,comp.graphics,comp.graphics,True,True,comp.graphics,5.7915612642560195
28,40.6956694060388,comp.graphics,comp.graphics,True,True,comp.graphics,35.468721837543946
29,144.68658269125117,talk.politics.guns,talk.religion.misc,False,False,talk.politics.guns,82.36846399619235
30,24.785741329205727,alt.atheism,alt.atheism,True,False,,0
31,19.23101214415516,comp.graphics,comp.graphics,True,True,comp.graphics,10.588745215937605
32,23.257514841920138,alt.atheism,alt.atheism,True,True,alt.atheism,10.522506445451633
33,40.34359789647626,comp.graphics,comp.graphics,True,True,comp.graphics,32.015034936390705
34,42.19919683107523,soc.religion.christian,talk.religion.misc,False,False,alt.atheism,6.289805828621696
35,92.48595436979235,alt.atheism,alt.atheism,True,True,alt.atheism,70.83364083387065
36,11.527996333363484,comp.graphics,comp.graphics,True,True,comp.graphics,7.403527194034367
37,39.33028742677235,sci.space,sci.space,True,False,talk.politics.guns,11.868751370864274
38,45.23418691940837,talk.politics.mideast,talk.religion.misc,False,False,talk.politics.mideast,19.492893972264945
39,27.36931403550771,comp.graphics,comp.graphics,True,True,comp.graphics,7.00991491503438
40,28.908161673893893,alt.atheism,alt.atheism,True,True,alt.atheism,2.491342395069928
41,39.72775471295871,talk.religion.misc,talk.religion.misc,True,True,talk.religion.misc,3.9498383007220506
42,86.40537340593006,talk.religion.misc,talk.religion.misc,True,True,talk.religion.misc,13.755764732778863
43,36.47719255581732,sci.space,sci.space,True,True,sci.space,13.805996816744345
44,31.144769443094194,talk.religion.misc,alt.atheism,False,False,soc.religion.christian,11.02942322594508
45,67.94955303664766,comp.windows.x,comp.graphics,False,False,comp.windows.x,31.321509314013838
46,40.00042419345261,soc.religion.christian,alt.atheism,False,False,soc.religion.christian,35.727460627729656
47,40.699083187933425,talk.religion.misc,talk.religion.misc,True,False,alt.atheism,2.720391329166832
48,6.70718751164042,comp.graphics,comp.graphics,True,True,comp.graphics,3.2839629450035357
49,17.35397370865692,comp.windows.x,comp.graphics,False,False,comp.sys.mac.hardware,3.6852174989022433
50,67.60402259294244,talk.religion.misc,talk.religion.misc,True,True,talk.religion.misc,52.061007434731195
51,88.96851439440972,comp.graphics,comp.graphics,True,True,comp.graphics,40.5697903831563
52,36.146593081901685,alt.atheism,alt.atheism,True,False,comp.windows.x,4.31836197033606
53,247.5487498492183,alt.atheism,alt.atheism,True,False,talk.politics.mideast,75.3393852699986
54,42.118350790691224,sci.space,sci.space,True,True,sci.space,25.244678701404048
55,160.08839221310103,sci.space,sci.space,True,False,sci.med,88.85477352576578
56,35.66970743743763,comp.graphics,comp.graphics,True,False,comp.sys.mac.hardware,24.613293331025012
57,56.99534731350229,sci.space,sci.space,True,True,sci.space,18.678614969974564
58,13.171990155163565,comp.graphics,comp.graphics,True,True,comp.graphics,8.516394742194471
59,41.9357884460703,sci.space,sci.space,True,True,sci.space,9.714772415846236
60,119.03706450126445,alt.atheism,alt.atheism,True,True,alt.atheism,101.78704878447452
61,22.208115875946792,alt.atheism,alt.atheism,True,False,sci.space,4.6895469972539345
62,50.85139684397102,alt.atheism,alt.atheism,True,False,soc.religion.christian,40.06206561961543
